date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:53	4462/4462	---M--	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2022:44:08%20GMT	https://si2.usfx.bo/suniver/web/Cuenta/security/login	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/Cuenta/security/login.html	(from )
18:42:54	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Dec%202025%2022:44:09%20GMT	https://si2.usfx.bo/robots.txt		(from )
18:42:54	152766/152766	---M--	200	added ('OK')	text/css	etag:%22254be-6433f64d9cd20%22	https://si2.usfx.bo/suniver/web/assets/caad04ca/css/bootstrap.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/assets/caad04ca/css/bootstrap.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:54	31004/31004	---M--	200	added ('OK')	text/css	etag:%22791c-6433f64da4638%22	https://si2.usfx.bo/suniver/web/assets/fd59674c/css/font-awesome.min.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/assets/fd59674c/css/font-awesome.min.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:54	3768/3768	---M--	200	added ('OK')	text/css	etag:%22eb8-6433f64da1f28%22	https://si2.usfx.bo/suniver/web/assets/56a1f85b/css/skins/skin-yellow-light.min.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/assets/56a1f85b/css/skins/skin-yellow-light.min.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:55	89999/89999	---M--	200	added ('OK')	text/css	etag:%2215f8f-5acaeefad0401%22	https://si2.usfx.bo/suniver/web/css/AdminLTE.min.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/css/AdminLTE.min.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:55	4134/4134	---M--	200	added ('OK')	text/css	etag:%221026-5acaeefa8d1c9%22	https://si2.usfx.bo/suniver/web/css/fonts.min.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/css/fonts.min.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:55	1290/1290	---M--	200	added ('OK')	text/css	etag:%2250a-5acaeefae05d1%22	https://si2.usfx.bo/suniver/web/css/site.min.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/css/site.min.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:55	31773/31773	---M--	200	added ('OK')	text/css	etag:%227c1d-6007610d80f40%22	https://si2.usfx.bo/suniver/web/plugins/sweetalert2/sweetalert2.css	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/plugins/sweetalert2/sweetalert2.css	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:55	11421/11421	---M--	200	added ('OK')	image/png	etag:%222c9d-5acaef0627922%22	https://si2.usfx.bo/suniver/web/images/dtic-small.png	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/images/dtic-small.png	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:56	7495/7495	---M--	200	added ('OK')	image/png	etag:%221d47-5acaef0a1723a%22	https://si2.usfx.bo/suniver/web/images/usfx-small.png	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/images/usfx-small.png	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:56	21444/21444	---M--	200	added ('OK')	application/javascript	etag:%2253c4-6433f64d9ffe8%22	https://si2.usfx.bo/suniver/web/assets/bf13c3dc/yii.js	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/assets/bf13c3dc/yii.js	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
18:42:56	282115/282115	---M--	200	added ('OK')	application/javascript	etag:%2244e03-6433f64d9a228%22	https://si2.usfx.bo/suniver/web/assets/ae247ea1/jquery.js	D:/TRABAJO/USFX_V3/USFX_V3/si2.usfx.bo/suniver/web/assets/ae247ea1/jquery.js	(from https://si2.usfx.bo/suniver/web/Cuenta/security/login)
